File,Directory,Category,Risk,Lines,Has Test,Test Files
"server/services/card-recognition/adapters/base.adapter.ts","server/services/card-recognition/adapters","service","high",51,false,""
"server/features/messaging/messaging.types.ts","server/features/messaging","feature","high",42,false,""
"server/features/users/users.types.ts","server/features/users","feature","high",40,false,""
"server/features/communities/communities.types.ts","server/features/communities","feature","high",18,false,""
"server/services/card-recognition/adapters/pokemon.adapter.ts","server/services/card-recognition/adapters","service","high",293,true,"server/tests/features/universal-deck-building.e2e.test.ts"
"server/services/card-recognition/adapters/yugioh.adapter.ts","server/services/card-recognition/adapters","service","high",282,true,"server/tests/features/universal-deck-building.e2e.test.ts"
"server/services/card-recognition.ts","server/services","service","high",266,true,"server/tests/features/card-recognition.test.ts"
"server/services/card-recognition/index.ts","server/services/card-recognition","service","high",159,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts"
"server/services/card-recognition/adapters/scryfall.adapter.ts","server/services/card-recognition/adapters","service","high",119,true,"server/tests/features/universal-deck-building.e2e.test.ts"
"server/services/games/game.service.ts","server/services/games","service","high",79,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts; server/tests/services/game.service.test.ts"
"server/features/tournaments/index.ts","server/features/tournaments","feature","high",2,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts"
"server/storage.ts","server","other","medium",7504,false,""
"server/admin/admin.routes.ts","server/admin","other","medium",1560,false,""
"server/utils/websocket-server-enhanced.ts","server/utils","util","medium",626,false,""
"server/routes/analytics.ts","server/routes","other","medium",571,false,""
"server/admin/admin.middleware.ts","server/admin","other","medium",508,false,""
"server/routes/matching.ts","server/routes","other","medium",409,false,""
"server/agents/backend-copilot-agent.ts","server/agents","other","medium",366,false,""
"server/agents/drizzle-analyzer.ts","server/agents","other","medium",361,false,""
"server/middleware/performance.middleware.ts","server/middleware","middleware","medium",335,false,""
"server/utils/websocket-connection-manager.ts","server/utils","util","medium",311,false,""
"server/utils/websocket-message-validator.ts","server/utils","util","medium",302,false,""
"server/routes/monitoring.ts","server/routes","other","medium",296,false,""
"server/routes/infrastructure-tests.ts","server/routes","other","medium",290,false,""
"server/middleware/error-handling.middleware.ts","server/middleware","middleware","medium",290,false,""
"server/routes/backup.ts","server/routes","other","medium",267,false,""
"server/email-service.ts","server","other","medium",251,false,""
"server/agents/automated-fixes.ts","server/agents","other","medium",224,false,""
"server/utils/websocket-env-validation.ts","server/utils","util","medium",206,false,""
"server/routes/cache-health.ts","server/routes","other","medium",175,false,""
"server/routes/notification-preferences.ts","server/routes","other","medium",174,false,""
"server/routes/user-profile.routes.ts","server/routes","other","medium",167,false,""
"server/logger.ts","server","other","medium",155,false,""
"server/routes/forum.routes.ts","server/routes","other","medium",153,false,""
"server/utils/production-logger.ts","server/utils","util","medium",144,false,""
"server/vite.ts","server","other","medium",131,false,""
"server/routes/platforms.routes.ts","server/routes","other","medium",124,false,""
"server/routes/streaming/collaborators.ts","server/routes/streaming","other","medium",122,false,""
"server/utils/websocket-rate-limiter.ts","server/utils","util","medium",117,false,""
"shared/websocket-schemas.ts","shared","shared","medium",116,false,""
"server/middleware/cache-middleware.ts","server/middleware","middleware","medium",114,false,""
"server/startup-optimization.ts","server","other","medium",111,false,""
"server/routes/streaming/coordination.ts","server/routes/streaming","other","medium",91,false,""
"server/shared/constants.ts","server/shared","shared","medium",90,false,""
"server/rate-limiting.ts","server","other","medium",88,false,""
"server/shared/types.ts","server/shared","shared","medium",79,false,""
"server/routes/webhooks.ts","server/routes","other","medium",73,false,""
"server/shared/middleware.ts","server/shared","shared","medium",69,false,""
"server/static-server.ts","server","other","medium",66,false,""
"shared/schema.ts","shared","shared","medium",2316,true,"server/tests/schema/cards-games-schema.test.ts"
"server/routes.ts","server","other","medium",1120,true,"server/tests/auth-routes.test.ts"
"server/index.ts","server","other","medium",648,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts"
"server/env-validation.ts","server","other","medium",575,true,"server/tests/environment/env-validation.test.ts"
"server/validation.ts","server","other","medium",283,true,"server/tests/environment/env-validation.test.ts; server/tests/ux/form-validation.test.ts"
"server/shared/utils.ts","server/shared","shared","medium",180,true,"server/tests/security/security.utils.test.ts; server/tests/utils/database.utils.test.ts"
"server/middleware/index.ts","server/middleware","middleware","medium",110,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts"
"server/routes/streaming/suggestions.ts","server/routes/streaming","other","low",42,false,""
"server/email.ts","server","other","low",41,false,""
"server/types.ts","server","other","low",39,false,""
"server/health.ts","server","other","low",27,false,""
"server/routes/streaming/index.ts","server/routes/streaming","other","low",11,true,"server/tests/features/universal-deck-building.e2e.test.ts; server/tests/features/universal-deck-building.integration.test.ts"
